document_name,date,start_page,end_page,content,author,is_vocabulary
"﻿Thinking, Fast and Slow ",2021-10-28 14:39:54,13,14,"author, I suppose, has in mind a setting in which readers of his or her work could benefit from having read it. Mine is the proverbial office watercooler,", Daniel Kahneman,False
"﻿Thinking, Fast and Slow ",2021-10-28 14:40:13,14,15,"exchanged. I hope to enrich the vocabulary that people use when they talk about the judgments and choices of others, the company’s new policies, or a colleague’s investment decisions. Why be concerned with gossip?", Daniel Kahneman,False
"﻿Thinking, Fast and Slow ",2021-10-28 14:40:35,14,15,"I hope to enrich the vocabulary that people use when they talk about the judgments and choices of others, the company’s new policies, or a colleague’s investment decisions. Why be concerned with gossip?", Daniel Kahneman,False
﻿The Hidden Habits of Genius ,2021-10-28 21:40:00,7,7,longing, Craig Wright  ,True
﻿The Hidden Habits of Genius ,2021-10-28 21:41:29,8,8,Genius involves the complicated expression of too many hidden personal traits to be reduced to a single location and process in our brain or on our chromosomes, Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-28 21:41:45,8,8,"How an exceptional individual’s traits work together to produce genius will remain a mystery. What these traits are and how they can be cultivated, however, is the subject of this book.", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-28 21:42:07,8,8,mania (a creative fury that consumed an inspired poet), Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-28 21:43:54,9,9,"Enlightenment, however, genius and God parted company. God withdrew, leaving the individual as the lone possessor of genius", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-28 21:47:21,10,10,"talent and genius are two very different things. The German philosopher Arthur Schopenhauer cleverly made this point in 1819: “A person of talent hits a target that no one else can hit; a person of genius hits a target that no one else can see.”7 A talented person deals skillfully with the immediately evident world. A genius, however, sees what is hidden from the rest of us", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-28 21:49:15,11,11,"To set a framework for this book, let me give you my definition for today: A genius is a person of extraordinary mental powers whose original works or insights change society in some significant way for good or for ill across cultures and across time. In brief, the greatest genius produces the greatest impact on the greatest number of people over the longest period of time", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-28 21:50:34,11,11,Creativity and creation are key, Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-28 21:53:30,12,12,enablers of genius: extraordinary, Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-28 21:53:44,13,13,"natural gifts, courage, a vivid imagination, a wide variety of interests, and a “go", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-28 21:53:50,13,13,"natural gifts, courage, a vivid imagination, a wide variety of interests, and a “go for broke” approach to life and art.", Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-28 21:55:34,13,13,Work ethic (chapter 1) Resilience (chapter 2) Originality (chapter 3) Childlike imagination (chapter 4) Insatiable curiosity (chapter 5) Passion (chapter 6) Creative maladjustment (chapter 7) Rebelliousness (chapter 8) Cross-border thinking (chapter 9) Contrarian action (chapter 10) Preparation (chapter 11) Obsession (chapter 12) Relaxation (chapter 13) Concentration (chapter 14), Craig Wright  ,False
﻿The Hidden Habits of Genius ,2021-10-28 21:56:18,14,14,"The best way to have a brilliant insight is to engage in creative relaxation: go for a walk, take a shower, or get a good night’s sleep with pen and paper by the bed.", Craig Wright  ,False
